,Unnamed: 0,FoodID,NutrientID,NutrientValue,NutrientCode,NutrientSymbol,NutrientUnit,NutrientName,Tagname,need,NutrientGroup,dv
13218,13218,176,309,8.8,309.0,ZN,mg,ZINC,ZN,9.0,3.0,0.977777777777778
13220,13220,176,315,2.1,315.0,MN,mg,MANGANESE,MN,3.0,3.0,0.7000000000000001
13226,13226,176,401,50.0,401.0,VITC,mg,VITAMIN C,VITC,90.0,1.0,0.5555555555555556
13231,13231,176,415,0.93,415.0,B6,mg,VITAMIN B-6,VITB6A,1.3,1.0,0.7153846153846154
13272,13272,177,208,282.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,141.0
13285,13285,177,291,34.8,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,1.16
13287,13287,177,303,17.3,303.0,FE,mg,IRON,FE,8.0,3.0,2.1625
13291,13291,177,307,2867.0,307.0,,mg,SODIUM,,2300.0,4.0,1.2465217391304348
13293,13293,177,312,1.0,312.0,CU,mg,COPPER,CU,0.9,3.0,1.1111111111111112
13294,13294,177,315,1.7,315.0,MN,mg,MANGANESE,MN,3.0,3.0,0.5666666666666667
13307,13307,177,415,2.094,415.0,B6,mg,VITAMIN B-6,VITB6A,1.3,1.0,1.6107692307692305
13310,13310,177,430,105.7,430.0,VITK,µg,VITAMIN K,VITK,120.0,1.0,0.8808333333333334
13394,13394,178,208,247.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,123.5
13407,13407,178,291,53.1,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,1.77
13408,13408,178,301,1002.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,1.002
13409,13409,178,303,8.32,303.0,FE,mg,IRON,FE,8.0,3.0,1.04
13416,13416,178,315,17.466,315.0,MN,mg,MANGANESE,MN,3.0,3.0,5.822
13480,13480,179,208,274.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,137.0
13493,13493,179,291,33.9,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,1.13
13494,13494,179,301,632.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.632
13495,13495,179,303,11.83,303.0,FE,mg,IRON,FE,8.0,3.0,1.47875
13496,13496,179,304,259.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,0.7194444444444444
13502,13502,179,315,60.127,315.0,MN,mg,MANGANESE,MN,3.0,3.0,20.04233333333333
13518,13518,179,430,141.8,430.0,VITK,µg,VITAMIN K,VITK,120.0,1.0,1.1816666666666669
13604,13604,180,208,279.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,139.5
13612,13612,180,301,1246.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,1.246
13613,13613,180,303,42.46,303.0,FE,mg,IRON,FE,8.0,3.0,5.3075
